Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Bahrain dinar   (BHD)                     ,Bolivar Fuerte   (VEF)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Hungarian forint   (HUF)                     ,Icelandic krona   (ISK)                     ,Indian rupee   (INR)                     ,Indonesian rupiah   (IDR)                     ,Iranian rial   (IRR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Kazakhstani tenge   (KZT)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Libyan dinar   (LYD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,Nepalese rupee   (NPR)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Pakistani rupee   (PKR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Sri Lankan rupee   (LKR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,Tunisian dinar   (TND)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     ,Bolivar Soberano   (VES)                     
01-01-2023,140.316489,1.437294196,0.376,3314910.824,12.73700961,5.088086908,1.390409056,1.299275004,909.3369868,6.865432146,3997.487719,24.61478991,7.432859219,0.999323189,280.9630038,116.1184001,79.91156522,14541.18181,42000,3.259338928,136.7249569,380.5833928,1336.743368,0.30765097,1.9324,4.474229113,44.24401433,19.92546081,112.5551149,1.612860748,9.660137192,0.3845,138.8700846,3.846043903,55.98795451,4.746014598,3.64,60.09615733,3.75,1.390404063,16.81404809,182.6956895,10.59993821,0.962816112,35.8921335,6.729639166,2.995931453,3.6725,0.844900218,1,40.42352539,560.3235762
02-01-2023,140.2170879,1.437324568,0.376,3317178.801,12.73871715,5.088004894,1.390405836,1.299171272,909.3585504,6.869537725,3997.487719,24.61475394,7.432858753,0.999313212,280.9630038,116.1184001,79.91010183,14541.18181,42000,3.259468403,136.7249905,380.5833928,1336.689805,0.307651144,1.9324,4.474228503,44.17280118,19.92549941,112.5551149,1.612861996,9.660120885,0.3845,138.8700846,3.84601943,55.98351142,4.745539065,3.64,60.09932702,3.75,1.390402428,16.81821544,182.6956895,10.59995724,0.962818595,35.88839778,6.736393042,2.995931453,3.6725,0.844892839,1,40.42182911,542.8597017
03-01-2023,140.1212631,1.437315945,0.376,3319445.424,12.73713588,5.088000724,1.390406981,1.299199966,909.3578795,6.873616908,3997.487719,24.61474778,7.432858754,0.999317597,280.9630038,116.1184001,79.91124995,14541.18181,42000,3.259517865,136.7249907,380.5833928,1336.671489,0.307651084,1.9324,4.474228498,44.12992775,19.9254983,112.5551149,1.612861959,9.66011665,0.3845,138.8700846,3.8460171,55.98252661,4.745073199,3.64,60.10200097,3.75,1.390403086,16.81948327,182.6956895,10.59995669,0.962818978,35.88662371,6.740030832,2.995931453,3.6725,0.844891775,1,40.42296849,560.3191447
04-01-2023,140.0288861,1.437318393,0.376,3321710.694,12.73860023,5.088000512,1.390406574,1.299192029,909.3579003,6.877669865,3997.487719,24.61474672,7.432858754,0.99931567,280.9630038,116.1184001,79.91034918,14541.18181,42000,3.25953676,136.7249907,380.5833928,1336.665225,0.307651105,1.9324,4.474228498,44.10411606,19.92549833,112.5551149,1.61286196,9.660115551,0.3845,138.8700846,3.846016878,55.98230832,4.744616806,3.64,60.10425673,3.75,1.390402821,16.81986898,182.6956895,10.59995671,0.962819037,35.88578123,6.741990227,2.995931453,3.6725,0.844891622,1,40.42220318,542.8641322
05-01-2023,139.9398327,1.437317698,0.376,3323974.612,12.73724416,5.088000502,1.390406718,1.299194224,909.3578997,6.881696764,3997.487719,24.61474654,7.432858754,0.999316517,280.9630038,116.1184001,79.9110559,14541.18181,42000,3.259543978,136.7249907,380.5833928,1336.663083,0.307651098,1.9324,4.474228498,44.0885763,19.92549833,112.5551149,1.61286196,9.660115266,0.3845,138.8700846,3.846016857,55.98225994,4.744169691,3.64,60.10615969,3.75,1.390402928,16.81998632,182.6956895,10.59995671,0.962819046,35.88538114,6.743045601,2.995931453,3.6725,0.8448916,1,40.42271723,560.3147153
06-01-2023,139.8539833,1.437317895,0.376,3326237.178,12.73849995,5.088000501,1.390406667,1.299193617,909.3578997,6.885697774,3997.487719,24.61474651,7.432858754,0.999316145,280.9630038,116.1184001,79.91050143,14541.18181,42000,3.259546735,136.7249907,380.5833928,1336.662351,0.3076511,1.9324,4.474228498,44.07922068,19.92549833,112.5551149,1.61286196,9.660115192,0.3845,138.8700846,3.846016855,55.98224921,4.743731666,3.64,60.10776503,3.75,1.390402885,16.82002202,182.6956895,10.59995671,0.962819047,35.88519114,6.743614049,2.995931453,3.6725,0.844891596,1,40.42237195,542.8685604
07-01-2023,139.7712228,1.437317839,0.376,3328498.393,12.73733702,5.088000501,1.390406685,1.299193785,909.3578997,6.88967306,3997.487719,24.61474651,7.432858754,0.999316308,280.9630038,116.1184001,79.91093644,14541.18181,42000,3.259547789,136.7249907,380.5833928,1336.6621,0.307651099,1.9324,4.474228498,44.07358819,19.92549833,112.5551149,1.61286196,9.660115172,0.3845,138.8700846,3.846016855,55.98224684,4.743302547,3.64,60.1091193,3.75,1.390402902,16.82003288,182.6956895,10.59995671,0.962819047,35.88510091,6.743920228,2.995931453,3.6725,0.844891596,1,40.42260387,560.3102883
08-01-2023,139.6914399,1.437317855,0.376,3330758.258,12.73841396,5.088000501,1.390406679,1.299193739,909.3578997,6.893622787,3997.487719,24.6147465,7.432858754,0.999316236,280.9630038,116.1184001,79.91059515,14541.18181,42000,3.259548191,136.7249907,380.5833928,1336.662015,0.3076511,1.9324,4.474228498,44.07019718,19.92549833,112.5551149,1.61286196,9.660115167,0.3845,138.8700846,3.846016855,55.98224631,4.742882153,3.64,60.11026176,3.75,1.390402895,16.82003619,182.6956895,10.59995671,0.962819047,35.88505807,6.744085143,2.995931453,3.6725,0.844891596,1,40.42244809,542.8729863
09-01-2023,139.6145275,1.437317851,0.376,3333016.774,12.73741665,5.088000501,1.390406681,1.299193751,909.3578997,6.897547121,3997.487719,24.6147465,7.432858754,0.999316268,280.9630038,116.1184001,79.91086292,14541.18181,42000,3.259548345,136.7249907,380.5833928,1336.661986,0.3076511,1.9324,4.474228498,44.06815564,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224619,4.742470305,3.64,60.11122554,3.75,1.390402898,16.82003719,182.6956895,10.59995671,0.962819047,35.88503772,6.74417397,2.995931453,3.6725,0.844891596,1,40.42255273,560.3058634
10-01-2023,139.5403824,1.437317852,0.376,3335273.942,12.73834022,5.088000501,1.39040668,1.299193748,909.3578997,6.901446225,3997.487719,24.6147465,7.432858754,0.999316254,280.9630038,116.1184001,79.91065283,14541.18181,42000,3.259548403,136.7249907,380.5833928,1336.661976,0.3076511,1.9324,4.474228498,44.06692655,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224617,4.742066831,3.64,60.11203859,3.75,1.390402897,16.8200375,182.6956895,10.59995671,0.962819047,35.88502805,6.744221814,2.995931453,3.6725,0.844891596,1,40.42248244,542.87741
