,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Bahrain dinar   (BHD)                     ,Bolivar Fuerte   (VEF)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Hungarian forint   (HUF)                     ,Icelandic krona   (ISK)                     ,Indian rupee   (INR)                     ,Indonesian rupiah   (IDR)                     ,Iranian rial   (IRR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Kazakhstani tenge   (KZT)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Libyan dinar   (LYD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,Nepalese rupee   (NPR)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Pakistani rupee   (PKR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Sri Lankan rupee   (LKR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,Tunisian dinar   (TND)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     ,Bolivar Soberano   (VES)                     
2024-01-01,137.55375544551788,1.437317852,0.376,4058932.757233002,12.73789616,5.088000501,1.39040668,1.299193749,909.3578997,7.443375053319897,3997.487719,24.6147465,7.432858754,0.999316258,280.9630038,116.1184001,79.91074519,14541.18181,42000.0,3.25954844,136.7249907,380.5833928,1336.66197,0.3076511,1.9324,4.474228498004432,44.06506713,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224616,4.72263794814329,3.64,60.11642413,3.75,1.390402897,16.82003763,182.6956895,10.59995671,0.962819047,35.88501932,6.7442776680000005,2.995931453,3.6725,0.844891596,1.0,40.42251068,544.3957357580695
2024-01-02,137.55375529688902,1.437317852,0.376,4060751.6311851447,12.73789616,5.088000501,1.39040668,1.299193749,909.3578997,7.4437729331558184,3997.487719,24.6147465,7.432858754,0.999316258,280.9630038,116.1184001,79.91074519,14541.18181,42000.0,3.25954844,136.7249907,380.5833928,1336.66197,0.3076511,1.9324,4.474228498008708,44.06506713,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224616,4.722637657208558,3.64,60.11642413,3.75,1.390402897,16.82003763,182.6956895,10.59995671,0.962819047,35.88501932,6.7442776680000005,2.995931453,3.6725,0.844891596,1.0,40.42251068,559.5445239704953
2024-01-03,137.55375515389161,1.437317852,0.376,4062569.2057853113,12.73789616,5.088000501,1.39040668,1.299193749,909.3578997,7.444168581098124,3997.487719,24.6147465,7.432858754,0.999316258,280.9630038,116.1184001,79.91074519,14541.18181,42000.0,3.25954844,136.7249907,380.5833928,1336.66197,0.3076511,1.9324,4.4742284980128355,44.06506713,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224616,4.7226373711139225,3.64,60.11642413,3.75,1.390402897,16.82003763,182.6956895,10.59995671,0.962819047,35.88501932,6.7442776680000005,2.995931453,3.6725,0.844891596,1.0,40.42251068,544.4041742843323
2024-01-04,137.5537550163123,1.437317852,0.376,4064385.4819617225,12.73789616,5.088000501,1.39040668,1.299193749,909.3578997,7.444562009666545,3997.487719,24.6147465,7.432858754,0.999316258,280.9630038,116.1184001,79.91074519,14541.18181,42000.0,3.25954844,136.7249907,380.5833928,1336.66197,0.3076511,1.9324,4.474228498016819,44.06506713,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224616,4.72263708977886,3.64,60.11642413,3.75,1.390402897,16.82003763,182.6956895,10.59995671,0.962819047,35.88501932,6.7442776680000005,2.995931453,3.6725,0.844891596,1.0,40.42251068,559.5360901448545
2024-01-05,137.5537548839458,1.437317852,0.376,4066200.460641935,12.73789616,5.088000501,1.39040668,1.299193749,909.3578997,7.444953231310586,3997.487719,24.6147465,7.432858754,0.999316258,280.9630038,116.1184001,79.91074519,14541.18181,42000.0,3.25954844,136.7249907,380.5833928,1336.66197,0.3076511,1.9324,4.474228498020663,44.06506713,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224616,4.722636813124188,3.64,60.11642413,3.75,1.390402897,16.82003763,182.6956895,10.59995671,0.962819047,35.88501932,6.7442776680000005,2.995931453,3.6725,0.844891596,1.0,40.42251068,544.4126034119698
2024-01-06,137.5537547565946,1.437317852,0.376,4068014.1427528434,12.73789616,5.088000501,1.39040668,1.299193749,909.3578997,7.445342258409914,3997.487719,24.6147465,7.432858754,0.999316258,280.9630038,116.1184001,79.91074519,14541.18181,42000.0,3.25954844,136.7249907,380.5833928,1336.66197,0.3076511,1.9324,4.474228498024373,44.06506713,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224616,4.722636541072044,3.64,60.11642413,3.75,1.390402897,16.82003763,182.6956895,10.59995671,0.962819047,35.88501932,6.7442776680000005,2.995931453,3.6725,0.844891596,1.0,40.42251068,559.5276657126035
2024-01-07,137.55375463406867,1.437317852,0.376,4069826.5292206802,12.73789616,5.088000501,1.39040668,1.299193749,909.3578997,7.445729103274755,3997.487719,24.6147465,7.432858754,0.999316258,280.9630038,116.1184001,79.91074519,14541.18181,42000.0,3.25954844,136.7249907,380.5833928,1336.66197,0.3076511,1.9324,4.474228498027953,44.06506713,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224616,4.722636273545857,3.64,60.11642413,3.75,1.390402897,16.82003763,182.6956895,10.59995671,0.962819047,35.88501932,6.7442776680000005,2.995931453,3.6725,0.844891596,1.0,40.42251068,544.42102315145
2024-01-08,137.55375451618517,1.437317852,0.376,4071637.620971016,12.73789616,5.088000501,1.39040668,1.299193749,909.3578997,7.44611377814628,3997.487719,24.6147465,7.432858754,0.999316258,280.9630038,116.1184001,79.91074519,14541.18181,42000.0,3.25954844,136.7249907,380.5833928,1336.66197,0.3076511,1.9324,4.474228498031409,44.06506713,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224616,4.722636010470332,3.64,60.11642413,3.75,1.390402897,16.82003763,182.6956895,10.59995671,0.962819047,35.88501932,6.7442776680000005,2.995931453,3.6725,0.844891596,1.0,40.42251068,559.5192506632802
2024-01-09,137.5537544027682,1.437317852,0.376,4073447.4189287606,12.73789616,5.088000501,1.39040668,1.299193749,909.3578997,7.446496295196994,3997.487719,24.6147465,7.432858754,0.999316258,280.9630038,116.1184001,79.91074519,14541.18181,42000.0,3.25954844,136.7249907,380.5833928,1336.66197,0.3076511,1.9324,4.474228498034744,44.06506713,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224616,4.722635751771426,3.64,60.11642413,3.75,1.390402897,16.82003763,182.6956895,10.59995671,0.962819047,35.88501932,6.7442776680000005,2.995931453,3.6725,0.844891596,1.0,40.42251068,544.429433513229
2024-01-10,137.55375429364852,1.437317852,0.376,4075255.9240181623,12.73789616,5.088000501,1.39040668,1.299193749,909.3578997,7.446876666531121,3997.487719,24.6147465,7.432858754,0.999316258,280.9630038,116.1184001,79.91074519,14541.18181,42000.0,3.25954844,136.7249907,380.5833928,1336.66197,0.3076511,1.9324,4.474228498037963,44.06506713,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224616,4.722635497376328,3.64,60.11642413,3.75,1.390402897,16.82003763,182.6956895,10.59995671,0.962819047,35.88501932,6.7442776680000005,2.995931453,3.6725,0.844891596,1.0,40.42251068,559.5108449864342
